        		    Caleb Hobby | Alta Kennan | Corrin Tally | Leandro Eagan | Otilia Laxson | Ellie Francese | Augustine Golub | Elinore Orsborn | Clarence Stalker | Lili Houghton | Monet Mccoy | Angila Ellinger | Sammie Womac | Tiny Parkhurst | Pearlie Moffet | Cruz Perna | Rebbecca Charlton | Marita Tegeler | Jarred Marrow | Lorean Simcox
Caleb Hobby       |      0             0              0               0              1                1                 0                 1                 0                 0              0               0                0              0                1              0                1                 0                1               1  
Alta Kennan       |      0             0              1               0              0                0                 0                 0                 0                 0              0               0                1              0                0              0                0                 0                0               0  
Corrin Tally      |      0             1              0               1              0                1                 1                 0                 1                 1              0               1                0              0                1              1                0                 1                0               1  
Leandro Eagan     |      0             0              1               0              0                1                 1                 0                 0                 0              1               0                0              0                0              1                0                 1                0               1  
Otilia Laxson     |      1             0              0               0              0                0                 0                 1                 0                 0              0               0                0              0                0              0                0                 0                0               0  
Ellie Francese    |      1             0              1               1              0                0                 1                 0                 0                 1              1               1                1              1                0              0                0                 1                0               1  
Augustine Golub   |      0             0              1               1              0                1                 0                 0                 0                 0              0               1                1              1                1              1                0                 1                0               1  
Elinore Orsborn   |      1             0              0               0              1                0                 0                 0                 0                 0              0               0                0              0                0              0                0                 0                0               0  
Clarence Stalker  |      0             0              1               0              0                0                 0                 0                 0                 0              0               1                1              0                0              1                0                 1                0               1  
Lili Houghton     |      0             0              1               0              0                1                 0                 0                 0                 0              1               0                1              1                1              0                0                 0                0               0  
Monet Mccoy       |      0             0              0               1              0                1                 0                 0                 0                 1              0               0                0              1                1              0                0                 0                0               0  
Angila Ellinger   |      0             0              1               0              0                1                 1                 0                 1                 0              0               0                0              0                0              1                0                 0                0               0  
Sammie Womac      |      0             1              0               0              0                1                 1                 0                 1                 1              0               0                0              0                1              0                0                 0                0               0  
Tiny Parkhurst    |      0             0              0               0              0                1                 1                 0                 0                 1              1               0                0              0                0              0                0                 0                0               0  
Pearlie Moffet    |      1             0              1               0              0                0                 1                 0                 0                 1              1               0                1              0                0              0                0                 0                0               0  
Cruz Perna        |      0             0              1               1              0                0                 1                 0                 1                 0              0               1                0              0                0              0                1                 0                0               0  
Rebbecca Charlton |      1             0              0               0              0                0                 0                 0                 0                 0              0               0                0              0                0              1                0                 0                0               0  
Marita Tegeler    |      0             0              1               1              0                1                 1                 0                 1                 0              0               0                0              0                0              0                0                 0                0               0  
Jarred Marrow     |      1             0              0               0              0                0                 0                 0                 0                 0              0               0                0              0                0              0                0                 0                0               0  
Lorean Simcox     |      1             0              1               1              0                1                 1                 0                 1                 0              0               0                0              0                0              0                0                 0                0               0  
